"pair_id","same_story","title_a","text_a","title_b","text_b","notes"
"p011","y","PM Modi urges private space sector to build global aura of innovation","PM Modi urges private space sector to build global aura of innovation New Delhi: Prime Minister Narendra Modi has stressed creating an aura around the private sector in space research so that people worldwide feel that if they want to make a career, they should go to India. In an interaction with CEOs and founders of 20 space startups on Friday, Modi also highlighted India's cost-competitiveness in launching space ventures. He emphasised that the country's vast","PM Modi urges private space sector to build 'global aura of innovation'","PM Modi urges private space sector to build 'global aura of innovation' Prime Minister Narendra Modi has stressed creating an aura around the private sector in space research so that people worldwide feel that if they want to make a career, they should go to India. In an interaction with CEOs and founders of 20 space startups on Friday, Modi also highlighted India's cost-competitiveness in launching space ventures. He emphasised that the country's vast talent pool",""
"p012","y","CRPF jawan injured in gunfight, houses burnt in Manipur’s Senapati district: Police","CRPF jawan injured in gunfight, houses burnt in Manipur's Senapati district: Police CRPF jawan injured, houses set ablaze in Manipur (Representative image) NEW DELHI: A CRPF jawan was injured in a gunfight between two groups, while several houses were burnt in two separate incidents in Manipurâ€TMs Senapati district on Monday, police said.According to a senior officer, houses were set ablaze after miscreants torched a house in Taphou Kuki village in Kangpokpi district around 2:30","Houses burnt, CRPF jawan injured in gunfight in Manipur’s Senapati","Houses burnt, CRPF jawan injured in gunfight in Manipur's Senapati CRPF jawan injured, houses set ablaze in Manipur (Representative image) NEW DELHI: Several houses were set ablaze and a CRPF jawan was later injured in a gunfight between two groups in Manipurâ€TMs Senapati district on Monday, police said.According to a senior officer, houses were set ablaze after miscreants torched a house in Taphou Kuki village in Kangpokpi district around 2:30 am.â€œFollowing",""
"p013","n","Gold Rate Today, August 22: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities","Gold Rate Today, August 22: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities 4 min readAug 22, 2026 10:36 AM IST The gold price in India today stands at Rs 16,309 per gram for 24 carat gold, Rs 14,950 per gram for 22 carat gold and Rs 12,232 per gram for 18 carat gold, as per Good Returns. Gold Rate Today: The gold price in India today stands at Rs 16,309 per gram for 24 carat gold, Rs 14,950 per gram for 22 carat gold and Rs 12,232 per gram for 18 carat gold, as per Good","Gold Rate Today, August 18: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities","Gold Rate Today, August 18: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities 3 min readAug 18, 2026 10:28 AM IST The gold price in India today stands at Rs ₹15,589 per gram for 24 carat gold, Rs ₹14,290 per gram for 22 carat gold and ₹11,692 per gram for 18 carat gold, as per Good Returns. Gold Rate Today: The gold price in India today stands at Rs ₹15,589 per gram for 24 carat gold, Rs ₹14,290 per gram for 22 carat gold and ₹11,692 per gram for 18 carat gold, as per Good","daily gold-rate template, different day (Aug 22 vs 18)"
"p014","n","News from the world of Education: August 21, 2026","News from the world of Education: August 21, 2026 Information on admissions, scholarships, competitions for students, events for educators and more","News from the world of Education: August 13, 2026","News from the world of Education: August 13, 2026 Information on admissions, scholarships, competitions for students, events for educators and more","recurring weekly education bulletin, different edition (Aug 21 vs 13)"
"p015","n","APOD: 2026 August 22 – Mostly Perseids","2026 August 22 - Mostly Perseids APOD Science APOD APOD: 2026 August 22... Today's APOD Archive Submissions Index Search Calendar RSS Education About Discuss APOD Astronomy Picture of the Day Discover the cosmos! Each day a different image or photograph of our fascinating universe is featured, along with a brief explanation written by a professional astronomer. Mostly Perseids Explanation: Recorded [...]","APOD: 2026 August 24 – Comet 220P in Outburst","2026 August 24 - Comet 220P in Outburst APOD Science APOD APOD: 2026 August 24 - Comet... Today's APOD Archive Submissions Index Search Calendar RSS Education About Discuss APOD Astronomy Picture of the Day Discover the cosmos! Each day a different image or photograph of our fascinating universe is featured, along with a brief explanation written by a professional astronomer. Comet 220P [...]","daily APOD feature, different day/image (Aug 22 vs 24)"
"p016","y","India vs Sri Lanka Test | Yashasvi Jaiswal loses temper after dismissal, could face ICC sanction","India vs Sri Lanka Test | Yashasvi Jaiswal loses temper after dismissal, could face ICC sanction Colombo: Yashasvi Jaiswal on Sunday brought himself within the ambit of ICC's Code of Conduct breach while engaging in a tense altercation with Asitha Fernando, during which the Indian opener's helmet made contact with Sri Lankan pacer's forehead. India batting coach Sitanshu Kotak thought the incident might have happened in the ""heat of the moment"" but maintained that Jaiswal should not have","Jaiswal risks ICC sanction after losing temper following dismissal in 2nd Test vs SL","Jaiswal risks ICC sanction after losing temper following dismissal in 2nd Test vs SL COLOMBO: Yashasvi Jaiswal on Sunday brought himself within the ambit of ICC's Code of Conduct breach while engaging in a tense altercation with Asitha Fernando, during which the Indian opener's helmet made contact with Sri Lankan pacer's forehead. India batting coach Sitanshu Kotak thought the incident might have happened in the ""heat of the moment"" but maintained that Jaiswal should not have",""
"p017","y","Terror-funding, drugs-for-weapons nexus linked to pro-Khalistan terrorist unearthed: Delhi Police","Terror-funding, drugs-for-weapons nexus linked to pro-Khalistan terrorist unearthed: Delhi Police New Delhi: A Delhi Police probe has uncovered an alleged terror-funding and drugs-for-weapons nexus linked to designated pro-Khalistan terrorist Arsh Dalla, with opium smuggled to Canada allegedly generating funds while weapons were pushed into Punjab through cross-border drone drops, an official said on Sunday. Four members of the alleged syndicate have been arrested and over 5.10 kg of opium","Terror funding, drugs-for-weapons nexus unearthed; four of syndicate held","Terror funding, drugs-for-weapons nexus unearthed; four of syndicate held NEW DELHI: A Delhi Police probe has uncovered an alleged terror-funding and drugs-for-weapons nexus linked to designated pro-Khalistan terrorist Arsh Dalla, with opium allegedly smuggled to Canada to generate funds while weapons were pushed into Punjab through cross-border drone drops, an official said. Four members of the alleged syndicate have been arrested and 5.138 kg of opium recovered",""
"p018","y","'Don't poison youth with impure mindset': VHP slams Rahul for 'Manusmriti' remarks","'Don't poison youth with impure mindset': VHP slams Rahul for 'Manusmriti' remarks New Delhi: The Vishva Hindu Parishad on Sunday slammed Rahul Gandhi for his ""Manusmriti mindset"" remark and his call to girl students to ""smash patriarchy"", asking if the Congress leader will muster the same courage to publicly quote what is said about women in other religions. Interacting with girl students at his 'Chhatron Ki Goonj' outreach programme in Pune on Saturday, Gandhi quoted a verse","'Don't poison youth with impure mindset': VHP slams Rahul for 'Manusmriti' remarks","'Don't poison youth with impure mindset': VHP slams Rahul for 'Manusmriti' remarks The Vishva Hindu Parishad on Sunday slammed Rahul Gandhi for his ""Manusmriti mindset"" remark and his call to girl students to ""smash patriarchy"", asking if the Congress leader will muster the same courage to publicly quote what is said about women in other religions. Interacting with girl students at his 'Chhatron Ki Goonj' outreach programme in Pune on Saturday, Gandhi quoted a verse from the",""
"p019","y","Up to 200,000 foreigners could lose US visas as Trump administration plans mass revocation","Up to 200,000 foreigners could lose US visas as Trump administration plans mass revocation US set for largest mass visa revocation in history targeting up to 200,000 foreigners, officials say","US set for largest mass visa revocation in history targeting up to 200,000 foreigners, officials say","US set for largest mass visa revocation in history targeting up to 200,000 foreigners, officials say US set for largest mass visa revocation in history targeting up to 200,000 foreigners, officials say",""
"p020","n","Natco Pharma’s Vizag FDF unit gets 4 U.S. FDA observations","Natco Pharma's Vizag FDF unit gets 4 U.S. FDA observations Comments Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments.","HRC elections held at its 55th AGM","HRC elections held at its 55th AGM Comments Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments.","different subjects (Natco Pharma FDA vs HRC AGM elections); shared text is site comment boilerplate"
"p021","n","Gold Rate Today, August 22: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities","Gold Rate Today, August 22: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities 4 min readAug 22, 2026 10:36 AM IST The gold price in India today stands at Rs 16,309 per gram for 24 carat gold, Rs 14,950 per gram for 22 carat gold and Rs 12,232 per gram for 18 carat gold, as per Good Returns. Gold Rate Today: The gold price in India today stands at Rs 16,309 per gram for 24 carat gold, Rs 14,950 per gram for 22 carat gold and Rs 12,232 per gram for 18 carat gold, as per Good","Gold Rate Today, August 19: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities","Gold Rate Today, August 19: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities 3 min readUpdated: Aug 19, 2026 10:45 AM IST The gold price in India today stands at Rs ₹15,497 per gram for 24 carat gold, Rs ₹14,205 per gram for 22 carat gold and ₹11,623 per gram for 18 carat gold, as per Good Returns. Gold Rate Today: The gold price in India today stands at Rs ₹15,497 per gram for 24 carat gold, Rs ₹14,205 per gram for 22 carat gold and ₹11,623 per gram for 18 carat gold, as","daily gold-rate template, different day (Aug 22 vs 19)"
"p022","y","Stock markets rise in early trade on buying in blue-chips","Stock markets rise in early trade on buying in blue-chips MUMBAI : Benchmark equity indices Sensex and Nifty were trading higher in early trade on Monday, driven by buying in blue-chip stocks HDFC Bank and Infosys amid positive global cues. However, persistent geopolitical tensions and elevated crude oil prices continue to hamper risk appetite, an expert said. The 30-share BSE Sensex climbed 202.42 points to 77,744.15 in early trade. The 50-share NSE","Sensex, Nifty rise in early trade amid buying in HDFC Bank, Infosys","Sensex, Nifty rise in early trade amid buying in HDFC Bank, Infosys Mumbai: Benchmark equity indices Sensex and Nifty were trading higher in early trade on Monday, driven by buying in blue-chip stocks HDFC Bank and Infosys amid positive global cues. However, persistent geopolitical tensions and elevated crude oil prices continue to hamper risk appetite, an expert said. The 30-share Sensex climbed 202.42 points to 77,744.15 in early trade. The 50-share NSE Nifty",""
"p023","n","Trust your instincts","Trust your instincts Uncertain about your career options? Low on self-confidence? This column may help","Shift the focus","Shift the focus Uncertain about your career options? Low on self-confidence? This column may help","recurring advice column, different titles/editions sharing a generic teaser"
"p024","y","DR Congo peace roadmap: Can it end the fighting?","DR Congo peace roadmap: Can it end the fighting? A new roadmap sets out the conditions toward peace in the eastern Democratic Republic of Congo (DRC). But disagreements over M23 rebels, Rwanda's role, and security concerns remain, and could still derail the process.","DR Congo peace roadmap: Will the fighting finally end?","DR Congo peace roadmap: Will the fighting finally end? A new roadmap sets out the conditions toward peace in the eastern Democratic Republic of Congo (DRC). But disagreements over M23 rebels, Rwanda's role, and security concerns remain, and could still derail the process.",""
"p025","y","Ukraine news: UK PM Burnham to visit Kyiv in show of support","Ukraine news: UK PM Burnham to visit Kyiv in show of support Andy Burnham's first trip abroad as PM will see him co-chair a meeting of the Coalition of the Willing and meet with Volodymyr Zelenskyy. The visit comes as Ukraine marks its 35th independence day. DW has more.","Ukraine news: UK PM Burnham arrives in Kyiv to show support","Ukraine news: UK PM Burnham arrives in Kyiv to show support Andy Burnham's first trip abroad as PM will see him co-chair a meeting of the Coalition of the Willing and meet with Volodymyr Zelenskyy. The visit comes as Ukraine marks its 35th independence day. DW has more.",""
"p026","y","'Judges are not gods, won't get every judgment right': Outgoing SC Judge Sanjay Karol in farewell speech","'Judges are not gods, won't get every judgment right': Outgoing SC Judge Sanjay Karol in farewell speech","Judges not gods, won't get every judgment right: Outgoing SC Judge Sanjay Karol","Judges not gods, won't get every judgment right: Outgoing SC Judge Sanjay Karol Judges not gods, won't get every judgment right: Outgoing SC Judge Sanjay Karol",""
"p027","y","'Will Be Like A Tsunami, Split Ukraine': Zelensky Rejects Wartime Elections","'Will Be Like A Tsunami, Split Ukraine': Zelensky Rejects Wartime Elections Ukraine has suspended elections under martial law, a measure still widely supported by the population as the country focuses on fighting off Russian forces.","Zelenskyy rejects wartime elections, says would 'split' Ukraine","Zelenskyy rejects wartime elections, says would 'split' Ukraine Ukraine has suspended elections under martial law, a measure still widely supported by the population as the country focuses on fighting off Russian forces",""
"p028","y","Retired Hindu school teacher, wife, children killed in Bangladesh; 2 detained","Retired Hindu school teacher, wife, children killed in Bangladesh; 2 detained Dhaka: A retired Hindu school teacher along with his wife and two children were allegedly killed at their residence in Bangladesh's Rangpur city, according to a media report. The deceased were identified as Ganapati Chakraborty, 65, Pritilata Chakraborty, 50, Agami Chakraborty Prarthi, 23, and Priyam Chakraborty, 12, the Daily Star newspaper reported. No rush for Bangladesh PM's India visit,","Retired Hindu school teacher, wife, children killed in Bangladesh; two detained","Retired Hindu school teacher, wife, children killed in Bangladesh; two detained DHAKA: A retired Hindu school teacher along with his wife and two children were allegedly killed at their residence in Bangladesh's Rangpur city, according to a media report. The deceased were identified as Ganapati Chakraborty, 65, Pritilata Chakraborty, 50, Agami Chakraborty Prarthi, 23, and Priyam Chakraborty, 12, the Daily Star newspaper reported. The police have detained two men, identified",""
"p029","y","Delhi HC asks Abhijit Mitra to respond to CJP spokesperson Saurav Das' privacy suit","Delhi HC asks Abhijit Mitra to respond to CJP spokesperson Saurav Das' privacy suit NEW DELHI: The Delhi High Court on Monday sought replies of commentator Abhijit Iyer Mitra, and several other law portals and media platforms on a plea by Cockroach Janta Party spokesperson Saurav Das seeking action against them for allegedly putting his residential details in public domain. In his suit, Das has sought protection of his right to privacy , dignity and security and damages for","Delhi HC asks Abhijit Mitra to respond to CJP spokesperson's privacy suit","Delhi HC asks Abhijit Mitra to respond to CJP spokesperson's privacy suit New Delhi: The Delhi High Court on Monday sought replies of commentator Abhijit Iyer Mitra, and several other law portals and media platforms on a plea by Cockroach Janta Party spokesperson Saurav Das seeking action against them for allegedly putting his residential details in public domain. In his suit, Das has sought protection of his right to privacy, dignity and security and damages for",""
"p030","y","Red faces as Sydney Marathon medal shows German stadium","Red faces as Sydney Marathon medal shows German stadium A medal minted for finishers in the Sydney Marathon features a skyline of the city - with one landmark from rather far away. Organizers say the muddle only makes the medal ""a little more unique.""","Sydney Marathon medal wrongly shows German landmark","Sydney Marathon medal wrongly shows German landmark A medal minted for finishers in the Sydney Marathon features a skyline of the city - with one landmark from rather far away. Organizers say the muddle only makes the medal ""a little more unique.""",""
"p031","n","‘A large crowd entered the queue’: Witness recounts chaos during Bihar temple stampede","'A large crowd entered the queue': Witness recounts chaos during Bihar temple stampede 4 min readPatnaAug 17, 2026 09:51 PM IST Injured people receive treatment at a hospital following a stampede at the Ashok Dham temple during the third Monday of the holy month of 'Shravan', in Lakhisarai, Bihar, Monday, Aug. 17, 2026. At least six people were killed. ( Photo) By the time the stampede occurred at 6:40 am, Manmala Devi and her daughter had already been standing in the long queue","7 killed, 25 injured as panic over electric pole triggers stampede at Bihar temple","7 killed, 25 injured as panic over electric pole triggers stampede at Bihar temple 4 min readPatnaUpdated: Aug 18, 2026 04:32 AM IST Injured people receive treatment at a hospital following a stampede at the Ashok Dham temple during the third Monday of the holy month of 'Shravan', in Lakhisarai, Bihar, Monday, Aug. 17, 2026. At least six people were killed. ( Photo) By the time the stampede occurred at 6:40 am, Manmala Devi and her daughter had already been standing in the","later update with revised toll/cause, not the same moment (rule 3)"
"p032","y","Starstruck: NASA Research Shows How Sun’s Ancient History Shaped Earth","NASA Research Shows How Sun's Ancient History Shaped Earth At the center of our solar system, the Sun influences every planet that orbits it. In two recent NASA-funded studies, scientists uncovered how ancient events in the Sun's history may have helped create Earth's unique climate and driven previously unexplained climatic shifts. In new research, scientists at NASA's SHIELD (Solar Wind with Hydrogen Ion charge Exchange and Large-Scale Dynamics) center","How the sun's galactic journey and superflare-filled youth shaped Earth's climate","How the sun's galactic journey and superflare-filled youth shaped Earth's climate At the center of our solar system, the sun influences every planet that orbits it. In two recent studies, scientists uncovered how ancient events in the sun's history may have helped create Earth's unique climate and driven previously unexplained climatic shifts.",""
"p033","y","Goyal says India negotiating FTAs with 8-9 more blocs, aims to cover 75 per cent of global trade","Goyal says India negotiating FTAs with 8-9 more blocs, aims to cover 75 per cent of global trade TOKYO: India is in negotiations with at least 8-9 more groups of countries and individual nations that together account for another USD 15 trillion of GDP, Commerce and Industry Minister Piyush Goyal said on Monday. He added that the country's free trade agreements would eventually cover about 75 per cent of global trade and help position India as a trusted partner in global value chains. India","Piyush Goyal says India negotiating FTAs with 8-9 more blocs, aims to cover 75% of global trade","Piyush Goyal says India negotiating FTAs with 8-9 more blocs, aims to cover 75% of global trade Tokyo: India is in negotiations with at least 8-9 more groups of countries and individual nations that together account for another USD 15 trillion of GDP, Commerce and Industry Minister Piyush Goyal said on Monday. He added that the country's free trade agreements would eventually cover about 75 per cent of global trade and help position India as a trusted partner in global value chains. #WATCH",""
"p034","y","GCT Grand Finale: Praggnanandhaa beats Keymer to stake his claim for finals","Praggnanandhaa beats Keymer to stake his claim for finals ST. LOUIS: Grandmaster R Praggnanandhaa defeated Vincent Keymer of Germany to take a 9-3 lead and came close to qualifying for the finals of the concluding event of grand chess tour. It was at best can be described as a game of fluctuating fortunes wherein Pragg suffered early as white wherein Keymer had the control and a legitimate shot at attacking the white king out of a Bishop's opening by","GCT Grand Finale: Praggnanandhaa beats Keymer to stake his claim for finals","Praggnanandhaa beats Keymer to stake his claim for finals It was, at best can be described as a game of fluctuating fortunes wherein Pragg suffered early as white, wherein Keymer had the control and a legitimate shot at attacking the white king out of a Bishop's opening by the Indian",""
"p035","n","The ultra rich are collecting fossils, and that’s bad for science – podcast","The ultra rich are collecting fossils, and that's bad for science - podcast One of the UK's best fossil collections has been sold overseas in what experts have called a loss to the nation. The collection, which is now on display at the Natural History Museum in Abu Dhabi, was gathered on Dorset's Jurassic Coast. As dinosaur fossils sell to private collectors for increasingly large sums, scientists are worried that domestic museums are being priced out of the market, and","The ultra rich are collecting fossils. And that’s bad for science - video","The ultra rich are collecting fossils. And that's bad for science - video One of the UK's best fossil collections has been sold overseas in what experts have called a loss to the nation. The collection, which is now on display at the Natural History Museum in Abu Dhabi, was gathered on Dorset's Jurassic Coast. As dinosaur fossils sell to private collectors for increasingly large sums, scientists are worried that domestic museums are being priced out of the market, and","podcast vs video built from same feature (rule 5)"
"p036","n","How to live in the age of AI","How to live in the age of AI You are logged in Loading... You don't have any Active Subscription. Subscribe now Subscribed with another email? Logout and Login with that one. Your active subscription(s) Account subscription benefits alongside Premium Stories, Editorials, Opinions and more. Unlock these with Subscription Products you've access to Additional Subscription Benefits Account Settings Need help with your","Quiz: Easy like Sunday morning — What has August 23 ever done for us?","Easy like Sunday morning - What has August 23 ever done for us? You are logged in Loading... You don't have any Active Subscription. Subscribe now Subscribed with another email? Logout and Login with that one. Your active subscription(s) Account subscription benefits alongside Premium Stories, Editorials, Opinions and more. Unlock these with Subscription Products you've access to Additional Subscription Benefits Account Settings Need help with your","different subjects; shared text is subscription paywall boilerplate"
"p037","y","Tiger attack: Political parties call for 2-day general strike across Gudalur","Tiger attack: Political parties call for 2-day general strike across Gudalur NILGIRIS: Following the deaths of two men in tiger attacks at Lauriston in O-Valley Town Panchayat, several political parties and traders have called for a two-day general strike on August 27 and 28 in the Gudalur Assembly constituency, urging the forest department to take steps to prevent such wild animal attacks in the region. Representatives of major political parties, including BJP, Congress,","Tiger attack: Political parties call for two-day general strike in Gudalur","Tiger attack: Political parties call for two-day general strike in Gudalur NILGIRIS: Following the deaths of two men in tiger attacks at Lauriston in O-Valley Town Panchayat, several political parties and traders have called a two-day general strike on August 27 and 28 in the Gudalur Assembly constituency, urging the forest department to take steps to prevent such wild animal attacks in the region. Representatives of major political parties, including BJP, Congress,",""
